timepoints,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
1.0,5,7,8,2,5,1,6,5,6,4,7,6,2,2,3,5,7,2,5,6,3,2,3,4,6,4,5,6,5,3,6,4,8,4,5,6,1,4,7,8,2,4,6,4,5,5,5,9,5,6
1.5,20,24,21,11,24,16,22,17,13,20,17,15,17,17,19,18,19,17,22,22,19,17,15,19,18,19,7,22,10,16,15,18,23,11,13,18,13,19,14,19,13,18,16,17,15,12,20,18,13,15
2.0,32,39,45,35,49,31,46,44,31,47,35,37,38,36,39,37,34,36,43,37,33,36,48,47,50,44,37,34,33,43,37,46,40,26,42,41,38,33,42,39,39,47,27,29,38,33,48,34,32,42
2.5,65,56,73,58,71,51,68,71,58,54,61,52,61,54,56,54,48,65,64,71,58,65,67,64,68,57,65,58,60,73,55,72,52,52,63,68,63,69,79,71,57,70,60,54,53,53,61,52,54,61
3.0,80,78,82,80,90,74,76,92,88,69,79,72,69,79,65,75,66,78,77,86,73,78,84,80,86,85,82,83,66,80,74,84,69,80,85,80,93,85,79,81,74,83,69,70,74,64,88,87,78,73
3.5,90,100,106,110,101,93,95,111,114,90,99,100,95,93,89,100,81,96,104,127,79,96,91,82,98,113,93,103,86,91,88,84,98,102,109,92,113,96,110,93,97,90,96,110,98,101,103,106,98,85
4.0,135,132,119,144,117,120,144,132,110,124,127,139,125,134,123,123,124,128,116,141,115,128,122,111,115,125,109,118,107,116,105,112,131,130,118,122,142,121,133,116,136,133,120,132,107,132,103,140,106,118
4.5,157,149,124,174,146,146,168,134,113,148,148,167,149,143,141,137,138,154,132,164,126,154,128,132,147,162,133,135,146,161,139,153,145,152,131,135,154,132,151,146,159,159,140,155,134,149,142,149,151,140
5.0,165,175,175,175,170,163,198,160,162,155,164,167,163,180,163,169,167,183,164,162,163,183,136,124,182,182,163,177,161,160,169,141,157,162,142,139,174,164,165,167,166,170,169,164,138,159,133,163,161,155
5.5,179,198,184,181,208,178,207,163,161,169,178,181,195,190,173,186,183,181,181,189,175,181,164,156,193,190,185,176,176,167,181,173,156,165,164,174,183,176,168,205,183,186,183,171,148,180,168,189,167,160
6.0,193,189,189,198,214,174,209,189,187,172,192,172,213,188,169,183,208,194,177,167,167,194,198,187,191,196,211,182,183,183,185,183,187,183,177,176,176,191,175,230,192,187,194,162,153,190,166,176,163,170
6.5,180,214,186,183,191,182,192,207,214,180,196,177,211,214,188,183,191,191,168,181,179,191,183,176,182,181,186,196,184,171,182,210,188,208,168,189,186,187,189,216,192,179,208,159,178,197,184,213,199,188
7.0,191,176,186,197,186,187,198,185,200,181,199,194,194,207,199,204,193,202,167,187,183,202,186,188,179,197,192,215,202,201,180,203,198,219,173,203,191,215,171,219,205,182,212,168,175,205,182,212,197,210
7.5,183,189,188,200,198,201,197,192,213,195,177,199,196,214,192,205,203,202,192,193,189,202,199,195,187,194,179,209,193,185,175,213,194,201,186,196,206,214,172,220,199,209,214,177,188,222,162,217,184,196
8.0,201,196,165,182,206,196,202,199,208,207,188,203,199,199,180,219,212,203,190,188,195,203,186,184,192,166,203,222,190,189,183,193,214,191,214,195,207,216,171,225,202,220,204,184,200,195,178,213,200,206
8.5,190,207,154,195,197,208,207,212,194,200,195,207,171,184,199,197,225,178,201,189,192,178,200,191,220,169,209,225,183,198,190,200,189,187,182,196,192,222,163,236,212,207,220,172,217,189,175,221,207,215
9.0,180,210,172,193,207,210,207,203,209,194,196,182,183,200,196,183,232,195,196,201,212,195,217,179,216,172,206,206,197,197,173,218,171,197,191,185,181,229,162,217,219,199,221,186,210,180,185,225,187,210
9.5,189,222,180,194,191,203,189,194,214,198,202,196,184,204,192,187,216,188,174,197,200,188,200,173,201,171,211,207,206,195,182,206,188,194,214,191,182,216,186,203,236,213,214,192,205,178,208,207,187,209
10.0,194,222,203,208,189,212,188,185,212,185,209,191,189,194,174,213,208,203,181,194,201,203,200,185,199,183,198,201,179,201,179,189,183,168,217,187,181,225,188,213,227,228,206,188,192,172,187,195,192,203
