timepoints,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,2,0,1,0
1.0,5,2,5,5,3,4,12,5,2,6,3,7,3,4,5,4,6,6,5,10,1,7,9,6,1,5,7,8,8,3,3,3,5,5,5,7,6,5,2,10,8,5,3,4,3,5,6,6,5,8
1.5,21,19,19,23,20,23,25,22,20,16,28,23,25,19,19,26,19,18,13,22,26,17,18,14,21,20,15,13,18,26,16,18,24,23,23,18,15,20,23,19,18,20,10,23,24,18,13,21,23,25
2.0,43,37,38,43,41,48,47,41,48,45,45,62,46,37,42,43,44,33,46,45,45,30,48,44,47,33,35,55,42,58,44,40,48,48,45,46,44,48,47,41,46,46,40,47,43,35,35,48,44,46
2.5,70,60,59,70,67,74,96,69,81,67,71,73,64,80,57,62,68,62,72,64,64,57,82,56,76,67,58,75,70,86,63,68,71,78,75,68,82,60,59,75,75,59,68,69,80,62,63,75,68,79
3.0,88,89,74,70,76,87,99,91,98,88,88,97,81,81,82,92,83,91,92,107,90,100,112,87,90,92,91,110,98,101,67,90,85,100,104,84,96,84,86,74,100,84,88,99,91,80,90,95,90,103
3.5,120,103,112,111,104,108,110,121,122,110,104,102,103,107,104,119,101,107,114,129,101,113,122,119,108,107,115,106,124,112,90,119,109,125,130,109,117,107,123,122,121,99,124,99,124,112,119,125,111,118
4.0,142,131,132,134,128,133,130,140,145,124,128,133,147,128,142,133,122,131,138,144,121,140,134,140,123,125,137,119,136,124,99,128,125,115,140,136,131,138,132,142,133,121,144,120,145,124,139,143,128,125
4.5,169,159,151,156,133,140,164,155,153,153,157,157,184,163,182,140,163,160,148,162,133,157,164,149,140,147,158,161,140,130,130,155,144,155,170,138,149,175,163,171,156,145,169,122,156,148,151,161,149,163
5.0,176,172,174,166,148,157,197,174,145,181,172,163,200,194,166,165,163,181,171,160,153,179,199,166,158,183,174,175,148,157,159,162,155,150,179,158,158,187,178,175,170,153,175,147,177,169,160,176,154,177
5.5,189,192,173,189,161,163,186,189,172,181,193,178,202,192,175,178,186,211,206,176,160,177,183,192,181,187,189,168,144,164,163,182,183,179,177,172,170,194,186,184,167,166,197,172,174,180,177,200,166,186
6.0,208,206,185,176,195,173,191,186,187,179,201,182,200,195,196,204,183,195,204,186,164,178,205,209,169,175,204,188,163,179,177,204,200,184,186,175,195,203,190,178,179,177,193,173,176,205,190,208,182,188
6.5,220,219,199,186,188,165,203,178,192,201,204,177,191,193,210,193,193,210,195,188,177,195,206,201,183,182,195,197,186,191,182,192,197,197,207,175,199,190,201,195,176,172,174,175,190,208,193,219,197,185
7.0,199,214,201,180,194,160,218,195,192,213,200,186,209,200,217,179,190,211,219,186,188,206,203,200,208,185,205,191,185,191,182,205,207,206,213,205,179,189,208,187,171,182,191,187,202,228,202,208,195,195
7.5,213,195,217,190,204,182,209,193,199,210,206,190,231,193,216,172,198,226,203,203,191,178,199,207,211,201,199,191,215,175,183,199,213,198,212,194,202,176,213,172,163,197,201,188,200,215,213,201,190,177
8.0,207,205,227,195,220,171,221,196,193,215,202,189,201,196,212,199,212,210,207,186,187,173,195,188,186,197,197,192,190,205,187,192,198,199,215,191,206,168,195,177,174,204,194,187,210,216,222,199,183,191
8.5,194,195,218,193,213,193,218,203,204,204,206,199,208,208,201,193,212,215,201,192,179,180,185,197,206,203,180,196,184,201,192,170,193,222,217,210,199,180,224,188,193,182,190,210,209,211,193,192,178,184
9.0,198,186,198,201,185,168,202,202,224,190,207,183,200,221,199,212,226,202,204,199,172,206,213,175,198,202,183,204,191,194,192,170,198,205,233,205,231,194,213,206,197,187,200,201,204,197,209,184,190,188
9.5,213,189,180,209,193,169,200,213,212,186,170,175,184,207,207,213,207,220,203,202,185,204,210,203,193,205,187,194,209,191,190,180,190,181,219,211,219,192,212,191,201,210,197,193,207,192,193,187,215,192
10.0,224,191,188,186,198,189,208,197,224,195,173,217,188,194,196,236,188,205,201,190,195,209,221,213,214,201,189,220,212,200,220,175,197,192,217,212,192,207,229,190,208,210,198,200,188,195,197,197,205,189
